"Source:","C:\Users\user6\Documents\GitHub\Controller_Circuit\HW\usb_relay_control\usb_relay_control.kicad_sch"
"Date:","10/05/2023 2:35:17 pm"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","153"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","8pF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C3, C10, C14, C21, C22","5","4u7","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C4, C5, C7, C8, C9","5","10uF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C6, C11","2","1uF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C12, C13, C23, C26, C31, C32, C33","7","10nF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C15, C16, C17, C18, C20, C24, C25, C27, C28, C29, C30, C35","12","0.1uF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C19","1","4.7nF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C34","1","47u","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"D1, D2, D8, D13, D16, D17","6","RED LED","LED_Small","LED_SMD:LED_0805_2012Metric","Light emitting diode, small symbol","",""
"D3","1","GREEN LED","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","",""
"D4","1","BLUE LED","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","",""
"D5, D9, D10, D18, D19","5","PRTR5V0U2X","PRTR5V0U2X","Package_TO_SOT_SMD:SOT-143","Ultra low capacitance double rail-to-rail ESD protection diode, SOT-143","",""
"D6, D7","2","LL4148","LL4148","Diode_SMD:D_MiniMELF","100V 0.15A standard switching diode, MiniMELF","",""
"D11, D12, D14","3","BZY55B3V3_RBG","BZY55B3V3_RBG","BZY55B3V3_RBG:BZY55B3V3RBG","- Tape and Reel","",""
"F1, F2, F3","3","1A","Fuse_Small","Fuse:Fuse_0805_2012Metric","Fuse, small symbol","",""
"F4, F5","2","28mA","Fuse_Small","Fuse:Fuse_0603_1608Metric","Fuse, small symbol","",""
"F6","1","700mA","Fuse_Small","Fuse:Fuse_0603_1608Metric","Fuse, small symbol","",""
"FB1, FB2, FB3","3","100 Ohm @ 100MHz","FerriteBead_Small","Inductor_SMD:L_0805_2012Metric","Ferrite bead, small symbol","",""
"FID1, FID2, FID3, FID4","4","Fiducial","Fiducial","Fiducial:Fiducial_0.5mm_Mask1mm","Fiducial Marker","",""
"H1, H2, H3, H4","4","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_2.5mm_Pad_Via","Mounting Hole with connection","",""
"IC1","1","LDL1117S33R","LDL1117S33R","LDL1117S33R:SOT230P700X180-4N","STMICROELECTRONICS - LDL1117S33R - LDO, FIXED, 3.3V, 1.2A, SOT-223-3","",""
"IC2, IC3","2","SIP32509DT-T1-GE3","SIP32509DT-T1-GE3","SIP32509DT-T1-GE3:SOT95P284X110-6N","Power Switch ICs - Power Distribution 1.1V to 5.5V Slew Rt 3A Cntrld Load Swtch","",""
"J1","1","8.06.04_J-LINK_NEEDLE_ADAPTER","8.06.04_J-LINK_NEEDLE_ADAPTER","8.06:SEGGER_8.06.04_J-LINK_NEEDLE_ADAPTER","","",""
"J2, J8, J9","3","USB_B_Mini","USB_B_Micro","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","USB Micro Type B connector","",""
"J3, J13, J14, J15, J17, J18","6","Conn_01x03_Male","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4, J16, J20, J21","4","Conn_01x02_Male","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J5, J19","2","Conn_01x05_Male","Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J6, J7","2","Screw_Terminal_01x04","Screw_Terminal_01x04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J10","1","2301843-1","2301843-2","2301843-2:23018432","TE CONNECTIVITY - 2301843-2 - D-SUB CONN, PLUG, 9POS, THROUGH HOLE","",""
"J11, J12","2","USB_A","USB_A","292303-9:J_SMD_292303-9-4_2,2.5_14.85_14.06_8.9","USB Type A connector","",""
"J22, J23","2","Screw_Terminal_01x02","Screw_Terminal_01x02","footprints:CONN_OSTVN02A150_OST","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"K1, K2","2","SRD-05VDC-SL-C","SRD-05VDC-SL-C","SRD-05VDC-SL-C:RELAY_SRD-05VDC-SL-C","","",""
"Q1","1","Q_NPN_BEC MMBT3904-ND","Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23","NPN transistor, base/emitter/collector","",""
"Q2","1","MMBT3904-ND","Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23","NPN transistor, base/emitter/collector","",""
"R1, R3","2","332","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R2, R6, R13, R18, R19, R24, R25, R26, R39, R40","10","10K","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R4","1","300","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R5","1","167","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R7, R9","2","20m","R_Small","Resistor_SMD:R_2010_5025Metric","Resistor, small symbol","",""
"R8, R10","2","124k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R11, R12","2","47k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R14, R15, R27, R28, R31, R32","6","1K","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R16, R20, R30","3","10","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R17, R23","2","1.78k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R21, R22","2","32m","R_Small","Resistor_SMD:R_2512_6332Metric","Resistor, small symbol","",""
"R29, R35, R36, R37, R38","5","150","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R33, R34","2","60.4 Ohm","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R41, R42, R43","3","0","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R44, R45","2","100K","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R46","1","1k5","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"SW1, SW2","2","SW_Push","SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P","Push button switch, generic, two pins","",""
"U1","1","STM32F103CBTx","STM32F103CBTx","Package_QFP:LQFP-48_7x7mm_P0.5mm","ARM Cortex-M3 MCU, 128KB flash, 20KB RAM, 72MHz, 2-3.6V, 37 GPIO, LQFP-48","",""
"U2","1","INA2181A3QDGSRQ1","INA2181A3QDGSRQ1","ul_INA2181A3QDGSRQ1:INA2181A3QDGSRQ1","","",""
"U3","1","TJA1051T-3","TJA1051T-3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","High-Speed CAN Transceiver, separate VIO, silent mode, SOIC-8","",""
"U4","1","INA2181A1IDGSR","INA2181A1IDGSR","ul_INA2181A1IDGSR:INA2181A1IDGSR","","",""
"Y1","1","16 MHz Crystal","Crystal_GND24_Small","Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm","Four pin crystal, GND on pins 2 and 4, small symbol","",""
